ID;YEAR;ASSETS;EQUITY;SALES;NET_PROFIT;ROA;TLTE;DEBTSTRUCT;ROE;INDB;IND;INFR;PEOPLE;PARTNERS
1;2018;16164723000;11550918000;6613658000;834412000;0,051619319;0,399880685;0,067649473;0,072237723;1;6;3;2;1
1;2019;19712038000;12030780000;6886848000;898411000;0,045576769;0,638810285;0,15290697;0,074676037;1;6;3;2;2
1;2020;20628719000;13049403000;6581321000;1548493000;0,075064913;0,581062597;0,18487813;0,1186639;1;6;3;2;2
2;2018;494093000;182877000;404006000;6550000;0,013256614;1,701777698;0,625619064;0,035816424;1;6;3;2;1
2;2019;430419000;186927000;468684000;4050000;0,009409436;1,30260476;0,560140235;0,021666212;1;6;3;2;1
2;2020;500162000;209353000;402876000;22426000;0,044837473;1,389084465;0,576279286;0,107120506;1;6;3;2;1
3;2018;74883000;21842000;257600000;7859000;0,104950389;2,428440619;0,559205694;0,359811366;0;1;3;2;1
3;2019;122402000;33412000;277240000;23854000;0,194882437;2,663444272;0,236850705;0,713935137;0;1;3;2;2
3;2020;104893000;40794000;318790000;7382000;0,070376479;1,571284993;0,341786392;0,180957988;0;1;3;2;2
4;2018;649359000;521755000;603306000;24575000;0,037845013;0,522247032;0,384345177;0,047100652;0;1;3;2;2
4;2019;612571000;510358000;632049000;12282000;0,020049921;0,454067537;0,367307626;0,024065459;0;1;3;2;2
4;2020;605774000;513111000;681325000;21483000;0,035463721;0,402423647;0,330273336;0,041868135;0;1;3;2;2
5;2018;95171000;8097000;65272000;274000;0,002879028;10,75385945;0,86238455;0,033839695;0;1;3;2;2
5;2019;333514000;8482000;137633000;385000;0,001154374;;0,974567784;0,045390237;0;1;3;2;2
5;2020;114226000;8454000;216802000;25000;0,000218864;;0,925997584;0,00295718;0;1;3;2;2
6;2018;2016219000;1947285000;344439000;-17368000;-0,008614144;0,035918728;0,034487821;-0,008919084;0;1;3;2;2
6;2019;2028405000;1962768000;394958000;15508000;0,007645416;0,033941862;0,032635494;0,007901086;0;1;3;2;1
6;2020;2203346000;1989225000;394897000;21589000;0,00979828;0,10813558;0,097411392;0,01085297;0;1;3;2;2
7;2018;2386711000;2266548000;687437000;390989000;0,163819164;0,053015864;0,040450645;0,172504172;0;1;3;2;2
7;2019;2696332000;2592712000;542784000;326164000;0,120965816;0,039965874;0,029105837;0,125800326;0;1;3;2;2
7;2020;3050026000;2932812000;525696000;340100000;0,111507246;0,039966421;0,02911844;0,115963794;0;1;3;2;2
9;2018;676784000;632863000;156786000;52814000;0,078036715;0,069400486;0,049156008;0,0834525;1;2;3;2;1
9;2019;736422000;710923000;146122000;78059000;0,105997648;0,035867457;0,025481314;0,109799512;1;2;3;2;2
9;2020;799996000;777753000;132954000;66830000;0,083537918;0,028599054;0,021173856;0,085927024;1;2;3;2;2
10;2018;241652000;228216000;72817000;35757000;0,14796898;;0,055600616;0,156680509;1;2;3;2;2
10;2019;292116000;266423000;59016000;24431000;0,083634584;;0,087954785;0,09170004;1;2;3;1;1
10;2020;324802000;320929000;116064000;54506000;0,167813006;;0,011924188;0,16983819;1;2;3;2;2
11;2018;3677719000;2317122000;1668896000;53476000;0,014540534;;0,369956759;0,02307863;1;2;3;2;2
11;2019;4018655000;2388321000;1733746000;73753000;0,018352658;0,68262767;0,398738135;0,03088069;1;2;3;2;2
11;2020;4697879000;2401715000;1414988000;15573000;0,0033149;0,956051821;0,482254226;0,006484116;1;2;3;2;2
12;2018;409627000;309472000;721138000;8159000;0,019918121;0,323631863;0,233739475;0,026364259;0;1;3;2;2
12;2019;435167000;349180000;655809000;47841000;0,109937105;0,246254081;0,187334977;0,137009561;0;1;3;1;2
12;2020;496939000;373411000;695698000;24231000;0,048760512;0,330809751;0,224528564;0,064890966;0;1;3;2;2
13;2018;2009286000;431784000;850152000;572314000;0,284834513;3,67419821;0,183382057;1,325463653;1;2;4;3;2
13;2019;1823021000;426924000;1019553000;-11857000;-0,006504039;3,307689425;0,184028599;-0,027773093;1;2;3;2;2
13;2020;2088468000;139993000;1287219000;-293333000;-0,140453672;14,07611809;0,332277057;-2,09534049;1;2;3;1;1
14;2018;436258000;59822000;407043000;11919000;0,027320989;6,292584668;0,355518982;0,199241087;1;2;3;2;2
14;2019;386325000;68701000;375736000;8860000;0,022934058;4,623557153;0,383076425;0,128964648;1;2;3;2;1
14;2020;341045000;44467000;349354000;3211000;0,00941518;6,670024962;0,168083391;0,072210856;1;2;3;2;2
15;2018;384832000;333311000;294812000;50166000;0,130358182;0,154573356;0,11012078;0,150508091;1;2;3;2;2
15;2019;394325000;342781000;277450000;47970000;0,121650922;0,150370061;0,101629367;0,139943585;1;2;3;2;2
15;2020;385266000;327323000;260653000;38446000;0,099790794;0,177020863;0,122196093;0,117455848;1;2;3;2;2
16;2018;722436000;696439000;132824000;7778000;0,010766352;0,037328467;0,021387362;0,011168243;1;2;3;1;2
16;2019;667956000;643106000;125075000;8669000;0,0129784;0,038640597;0,022079299;0,013479893;1;2;3;2;1
16;2020;625036000;599700000;113419000;-3401000;-0,005441287;0,042247791;0,025652922;-0,005671169;1;2;3;2;2
17;2018;4457404000;1081895000;588377000;73685000;0,016530922;3,119996857;0,600238614;0,068107352;0;1;3;2;2
17;2019;5401149000;1202594000;599719000;120642000;0,022336358;3,491296314;0,170733487;0,100318149;0;1;3;2;2
17;2020;5501213000;1257160000;625936000;121369000;0,022062225;3,375927487;0,026344735;0,096542209;0;1;3;2;2
18;2018;310166000;282829000;179214000;190000;0,000612575;;0,088136675;0,000671784;0;1;3;2;2
18;2019;276818000;268141000;98240000;-14687000;-0,053056521;;0,031345505;-0,05477342;0;1;3;2;2
18;2020;286845000;278252000;102734000;10111000;0,035249002;;0,029956945;0,036337566;0;1;3;2;2
19;2018;124847000;94277000;177744000;11296000;0,090478746;;0,244867718;0,119817138;0;1;3;2;2
19;2019;140613000;103322000;203621000;9044000;0,064318377;;0,265195963;0,087532178;0;1;3;2;2
19;2020;168657000;115136000;232087000;11813000;0,070041564;;0,317336369;0,102600403;0;1;3;2;2
20;2018;238233000;66433000;210584000;1757000;0,007375133;;0,721142747;0,026447698;0;1;3;2;2
20;2019;266546000;67916000;206317000;1483000;0,005563768;;0,745199703;0,021835797;0;1;3;2;2
20;2020;196876000;69943000;190032000;2027000;0,010295821;;0,644735773;0,028980741;0;1;3;2;1
21;2018;131640000;81537000;207235000;20011000;0,152013066;0,614481769;0,318307505;0,245422319;0;1;3;2;2
21;2019;102657000;52068000;208626000;-29469000;-0,287062743;0,971594838;0,477687834;-0,565971434;0;1;3;2;2
21;2020;115595000;67262000;229766000;15194000;0,131441671;0,718578098;0,40232709;0,225892782;0;1;3;2;2
22;2018;741308000;124034000;1224942000;26282000;0,03545355;4,976651563;0,698960486;0,211893514;0;1;3;2;2
22;2019;700291000;163089000;1292495000;85662000;0,122323434;3,293919271;0,624233354;0,525246978;0;1;3;2;2
22;2020;691715000;235725000;1449998000;163655000;0,236593106;1,934415102;0,506507738;0,694262385;0;1;3;2;2
